Player,GameAdj,Game,Injury Type,Position,Season,Team
"Grimson, Stu",3,3,Hand,F,2000/01,Los Angeles
"LeClair, John",3,3,Back,F,2000/01,Philadelphia
"Rönnqvist, Jonas",3,3,Knee,F,2000/01,Anaheim
"Shields, Steve",3,3,Leg,G,2000/01,San Jose
"Simpson, Todd",3,3,Toe,D,2000/01,Florida
"Tkachuk, Keith",3,3,Groin,F,2000/01,Phoenix
"Trnka, Pavel",3,3,Ankle,D,2000/01,Anaheim
"Tsyplakov, Vladimir",3,3,Knee,F,2000/01,Buffalo
"Buzek, Petr",4,4,Neck,D,2000/01,Atlanta
"Jonsson, Hans",4,4,Concussion,D,2000/01,Pittsburgh
"Laukkanen, Janne",4,4,Knee,D,2000/01,Pittsburgh
"McCauley, Alyn",4,4,Arm,F,2000/01,Toronto
"Murray, Marty",4,4,Hip,F,2000/01,Calgary
"Pandolfo, Jay",4,4,Shoulder,F,2000/01,New Jersey
"Pratt, Nolan",4,4,Wrist,D,2000/01,Colorado
"Recchi, Mark",4,4,Concussion,F,2000/01,Philadelphia
"Suter, Gary",4,4,Ribs,D,2000/01,San Jose
"Therien, Chris",4,4,Back,D,2000/01,Philadelphia
"Drulia, Stan",5,5,Hand,F,2000/01,Tampa Bay
"Koivu, Saku",5,5,Knee,F,2000/01,Montreal
"Lalime, Patrick",5,5,Knee,G,2000/01,Ottawa
"Modano, Mike",5,5,Back,F,2000/01,Dallas
"Muckalt, Bill",5,5,Shoulder,F,2000/01,NY Islanders
"Van Allen, Shaun",5,5,Back,F,2000/01,Dallas
"Vokoun, Tomáš",5,5,Foot,G,2000/01,Nashville
"Yzerman, Steve",5,5,Knee,F,2000/01,Detroit
"Alfredsson, Daniel",6,6,Hip,F,2000/01,Ottawa
"Campbell, Jim",6,6,Concussion,F,2000/01,Montreal
"Chebaturkin, Vladimir",6,6,Groin,D,2000/01,St. Louis
"Dafoe, Byron",6,6,Hamstring,G,2000/01,Boston
"Duchesne, Steve",6,6,Knee,D,2000/01,Detroit
"Fernandez, Manny",6,6,Ankle,G,2000/01,Minnesota
"Gauthier, Denis",6,6,Wrist,D,2000/01,Calgary
"Hatcher, Kevin",6,6,Finger,D,2000/01,Carolina
"Kallio, Tomi",6,6,Groin,F,2000/01,Atlanta
"Krivokrasov, Sergei",6,6,Knee,F,2000/01,Minnesota
"Moran, Ian",6,6,Knee,D,2000/01,Pittsburgh
"Pitlick, Lance",6,6,Hand,D,2000/01,Florida
"Ricci, Mike",6,6,Headache,F,2000/01,San Jose
"Tanabe, David",6,6,Concussion,D,2000/01,Carolina
"Therien, Chris",6,6,Back,D,2000/01,Philadelphia
"Ylönen, Juha",6,6,Shoulder,F,2000/01,Phoenix
"Blake, Rob",7,7,Back,D,2000/01,Los Angeles
"Brashear, Donald",7,7,Leg,F,2000/01,Vancouver
"Chelios, Chris",7,7,Knee,D,2000/01,Detroit
"Deadmarsh, Adam",7,7,Eye,F,2000/01,Colorado
"Leschyshyn, Curtis",7,7,Groin,D,2000/01,Minnesota
"Nickulas, Eric",7,7,Ribs,F,2000/01,Boston
"Titov, German",7,7,Ribs,F,2000/01,Anaheim
"Wilson, Mike",7,7,Shoulder,D,2000/01,Florida
"Witt, Brendan",7,7,Arm,D,2000/01,Washington
"Barrie, Len",8,8,Kidney,F,2000/01,Florida
"Bombardir, Brad",8,8,Groin,D,2000/01,Minnesota
"Cloutier, Dan",8,8,Bicep,G,2000/01,Tampa Bay
"Coffey, Paul",8,8,Hip,D,2000/01,Boston
"Grand-Pierre, Jean-Luc",8,8,Foot,D,2000/01,Columbus
"Guolla, Stephen",8,8,Eye,F,2000/01,Atlanta
"Gusev, Sergey",8,8,Knee,D,2000/01,Tampa Bay
"Hannan, Scott",8,8,Ankle,D,2000/01,San Jose
"Klee, Ken",8,8,Wrist,D,2000/01,Washington
"Kozlov, Viktor",8,8,Shoulder,F,2000/01,Florida
"Nolan, Owen",8,8,Abdominal,F,2000/01,San Jose
"Persson, Ricard",8,8,Ankle,D,2000/01,Ottawa
"Pratt, Nolan",8,8,Wrist,D,2000/01,Colorado
"Sýkora, Petr",8,8,Groin,F,2000/01,New Jersey
"Thomas, Steve",8,8,Hand,F,2000/01,Toronto
"Vyshedkevich, Sergei",8,8,Chest,D,2000/01,Atlanta
"Öhlund, Mattias",8,8,Eye,D,2000/01,Vancouver
"Audette, Donald",9,9,Groin,F,2000/01,Atlanta
"Blake, Jason",9,9,Hip,F,2000/01,Los Angeles
"Dineen, Kevin",9,9,Back,F,2000/01,Columbus
"Duchesne, Steve",9,9,Knee,D,2000/01,Detroit
"Jones, Keith",9,9,Concussion,F,2000/01,Philadelphia
"McLaren, Kyle",9,9,Knee,D,2000/01,Boston
"McLean, Kirk",9,9,Back,G,2000/01,NY Rangers
"Recchi, Mark",9,9,Concussion,F,2000/01,Philadelphia
"Salei, Ruslan",9,9,Foot,D,2000/01,Anaheim
"Svoboda, Petr",9,9,Hip,D,2000/01,Tampa Bay
"Hackett, Jeff",10,10,Hand,G,2000/01,Montreal
"Johnson, Craig",10,10,Foot,F,2000/01,Los Angeles
"Laflamme, Christian",10,10,Concussion,D,2000/01,Montreal
"Mellanby, Scott",10,10,Back,F,2000/01,Florida
"Rhodes, Damian",10,10,Knee,G,2000/01,Atlanta
"Dunham, Mike",11,11,Knee,G,2000/01,Nashville
"Jovanovski, Ed",11,11,Oblique,D,2000/01,Vancouver
"Juneau, Joé",11,11,Shoulder,F,2000/01,Phoenix
"Kamensky, Valeri",11,11,Kidney,F,2000/01,NY Rangers
"Peltonen, Ville",11,11,Shoulder,F,2000/01,Nashville
"Ragnarsson, Marcus",11,11,Knee,D,2000/01,San Jose
"Rolston, Brian",11,11,Ribs,F,2000/01,Boston
"Van Impe, Darren",11,11,Shoulder,D,2000/01,Boston
"Albelin, Tommy",12,12,Concussion,D,2000/01,Calgary
"Aucoin, Adrian",12,12,Groin,D,2000/01,Vancouver
"Barnes, Stu",12,12,Groin,F,2000/01,Buffalo
"Brodeur, Martin",12,12,Groin,G,2000/01,New Jersey
"Oliwa, Krzysztof",12,12,Arm,F,2000/01,Columbus
"Poulin, Patrick",12,12,Groin,F,2000/01,Montreal
"Primeau, Keith",12,12,Concussion,F,2000/01,Philadelphia
"Rhodes, Damian",12,12,Knee,G,2000/01,Atlanta
"Richter, Mike",12,12,Knee,G,2000/01,NY Rangers
"Salei, Ruslan",12,12,Foot,D,2000/01,Anaheim
"Smith, Mark",12,12,Head,F,2000/01,San Jose
"Tocchet, Rick",12,12,Ankle,F,2000/01,Philadelphia
"Šimíček, Roman",12,12,Hamstring,F,2000/01,Pittsburgh
"Arvedson, Magnus",13,13,Gluteus,F,2000/01,Ottawa
"Fisher, Mike",13,13,Shoulder,F,2000/01,Ottawa
"Johnsson, Kim",13,13,Hand,D,2000/01,NY Rangers
"Kubina, Pavel",13,13,Concussion,D,2000/01,Tampa Bay
"Larionov, Igor",13,13,Hip,F,2000/01,Florida
"Martins, Steve",13,13,Shoulder,F,2000/01,Tampa Bay
"McInnis, Marty",13,13,Neck,F,2000/01,Anaheim
"Millar, Craig",13,13,Hip,D,2000/01,Tampa Bay
"Perreault, Yanic",13,13,Knee,F,2000/01,Toronto
"Phillips, Chris",13,13,Back,D,2000/01,Ottawa
"Stillman, Cory",13,13,Shoulder,F,2000/01,Calgary
"Svoboda, Petr",13,13,Back,D,2000/01,Tampa Bay
"Webb, Steve",13,13,Back,F,2000/01,NY Islanders
"Deadmarsh, Adam",14,14,Concussion,F,2000/01,Colorado
"Drury, Chris",14,14,Knee,F,2000/01,Colorado
"Goc, Sascha",14,14,Knee,D,2000/01,New Jersey
"Hay, Dwayne",14,14,Flu,F,2000/01,Calgary
"Johansson, Calle",14,14,Back,D,2000/01,Washington
"Leschyshyn, Curtis",14,14,Groin,D,2000/01,Minnesota
"Roy, André",14,14,Back,F,2000/01,Ottawa
"Sillinger, Mike",14,14,Foot,F,2000/01,Florida
"Stevens, Kevin",14,14,Charley horse,F,2000/01,Philadelphia
"Sullivan, Mike",14,14,Abdominal,F,2000/01,Phoenix
"Sýkora, Petr",14,14,Groin,F,2000/01,New Jersey
"Tkachuk, Keith",14,14,Back,F,2000/01,Phoenix
"Valicevic, Rob",14,14,Knee,F,2000/01,Nashville
"Coffey, Paul",15,15,Concussion,D,2000/01,Boston
"Dollas, Bobby",15,15,Hand,D,2000/01,San Jose
"Eriksson, Anders",15,15,Knee,D,2000/01,Florida
"McKenna, Steve",15,15,Back,F,2000/01,Minnesota
"Mironov, Dmitri",15,15,Elbow,D,2000/01,Washington
"Murphy, Joe",15,15,Knee,F,2000/01,Washington
"Primeau, Wayne",15,15,Ankle,F,2000/01,Tampa Bay
"Regehr, Robyn",15,15,Knee,D,2000/01,Calgary
"Sarich, Cory",15,15,Shoulder,D,2000/01,Tampa Bay
"Whitney, Ray",15,15,Groin,F,2000/01,Florida
"Aucoin, Adrian",16,16,Groin,D,2000/01,Vancouver
"Brathwaite, Fred",16,16,Groin,G,2000/01,Calgary
"Brunet, Benoît",16,16,Groin,F,2000/01,Montreal
"Cross, Cory",16,16,Hip,D,2000/01,Toronto
"Hulbig, Joe",16,16,Concussion,F,2000/01,Boston
"Johnson, Matt",16,16,Finger,F,2000/01,Minnesota
"Karpovtsev, Alexander",16,16,Ankle,D,2000/01,Chicago
"Kozlov, Viktor",16,16,Shoulder,F,2000/01,Florida
"Laus, Paul",16,16,Hernia,D,2000/01,Florida
"Lehtinen, Jere",16,16,Flu,F,2000/01,Dallas
"Mellanby, Scott",16,16,Back,F,2000/01,Florida
"Millar, Craig",16,16,Ribs,D,2000/01,Tampa Bay
"Moran, Ian",16,16,Hand,D,2000/01,Pittsburgh
"Ray, Rob",16,16,Shoulder,F,2000/01,Buffalo
"Sýkora, Michal",16,16,Back,D,2000/01,Philadelphia
"Boughner, Bob",17,17,Wrist,D,2000/01,Pittsburgh
"Galley, Garry",17,17,Concussion,D,2000/01,NY Islanders
"Gusev, Sergey",17,17,Knee,D,2000/01,Tampa Bay
"Holmström, Tomas",17,17,Knee,F,2000/01,Detroit
"Mara, Paul",17,17,Hip,D,2000/01,Tampa Bay
"Nielsen, Jeff",17,17,Shoulder,F,2000/01,Minnesota
"Oliver, David",17,17,Hip,F,2000/01,Ottawa
"Smith, Steve",17,17,Concussion,D,2000/01,Calgary
"Sushinsky, Maxim",17,17,Hand,F,2000/01,Minnesota
"Sutton, Andy",17,17,Knee,D,2000/01,Minnesota
"Belak, Wade",18,18,Ankle,F,2000/01,Calgary
"DiMaio, Rob",18,18,Back,F,2000/01,Carolina
"Finley, Jeff",18,18,Flu,D,2000/01,St. Louis
"Forsberg, Peter",18,18,Ribs,F,2000/01,Colorado
"Laukkanen, Janne",18,18,Knee,D,2000/01,Pittsburgh
"Leroux, Jean-Yves",18,18,Knee,F,2000/01,Chicago
"Malakhov, Vladimir",18,18,Knee,D,2000/01,NY Rangers
"Martins, Steve",18,18,Groin,F,2000/01,Tampa Bay
"McLennan, Jamie",18,18,Arm,G,2000/01,Minnesota
"Pellerin, Scott",18,18,Eye,F,2000/01,Minnesota
"Popovic, Peter",18,18,Foot,D,2000/01,Boston
"Stevens, Kevin",18,18,Quadriceps,F,2000/01,Philadelphia
"Warrener, Rhett",18,18,Concussion,D,2000/01,Buffalo
"Webb, Steve",18,18,Knee,F,2000/01,NY Islanders
"Arvedson, Magnus",19,19,Foot,F,2000/01,Ottawa
"Bordeleau, Sébastien",19,19,Abdominal,F,2000/01,Nashville
"Bouillon, Francis",19,19,Hand,D,2000/01,Montreal
"Campbell, Jim",19,19,Groin,F,2000/01,Montreal
"Chelios, Chris",19,19,Knee,D,2000/01,Detroit
"Dackell, Andreas",19,19,Flu,F,2000/01,Ottawa
"Dingman, Chris",19,19,Knee,F,2000/01,Colorado
"Ferraro, Ray",19,19,Neck,F,2000/01,Atlanta
"Gavey, Aaron",19,19,Foot,F,2000/01,Minnesota
"Gilchrist, Brent",19,19,Groin,F,2000/01,Detroit
"Housley, Phil",19,19,Toe,D,2000/01,Calgary
"Poulin, Patrick",19,19,Groin,F,2000/01,Montreal
"Salo, Sami",19,19,Shoulder,D,2000/01,Ottawa
"Stewart, Cam",19,19,Chest,F,2000/01,Minnesota
"Titov, German",19,19,Knee,F,2000/01,Anaheim
"Valicevic, Rob",19,19,Knee,F,2000/01,Nashville
"Zyuzin, Andrei",19,19,Concussion,D,2000/01,Tampa Bay
"Beránek, Josef",20,20,Hamstring,F,2000/01,Pittsburgh
"Gilmour, Doug",20,20,Pelvis,F,2000/01,Buffalo
"Gáborík, Marián",20,20,Leg,F,2000/01,Minnesota
"Hatcher, Kevin",20,20,Hand,D,2000/01,Carolina
"Holmström, Tomas",20,20,Groin,F,2000/01,Detroit
"Kharitonov, Alexander",20,20,Concussion,F,2000/01,Tampa Bay
"Kuba, Filip",20,20,Ribs,D,2000/01,Minnesota
"Oliver, David",20,20,Groin,F,2000/01,Ottawa
"Roenick, Jeremy",20,20,Concussion,F,2000/01,Phoenix
"Sacco, Joe",20,20,Hip,F,2000/01,Washington
"Štefan, Patrik",20,20,Concussion,F,2000/01,Atlanta
"Brashear, Donald",21,21,Back,F,2000/01,Vancouver
"Dafoe, Byron",21,21,Knee,G,2000/01,Boston
"Jones, Keith",21,21,Knee,F,2000/01,Philadelphia
"Lacroix, Éric",21,21,Finger,F,2000/01,NY Rangers
"Lindgren, Mats",21,21,Shoulder,F,2000/01,NY Islanders
"Numminen, Teppo",21,21,Foot,D,2000/01,Phoenix
"Odjick, Gino",21,21,Elbow,F,2000/01,Philadelphia
"Rucchin, Steve",21,21,Jaw,F,2000/01,Anaheim
"Schneider, Mathieu",21,21,Back,D,2000/01,Los Angeles
"Simpson, Reid",21,21,Groin,F,2000/01,St. Louis
"Staios, Steve",21,21,Concussion,D,2000/01,Atlanta
"Svoboda, Petr",21,21,Neck,D,2000/01,Tampa Bay
"Svoboda, Petr",21,21,Ankle,D,2000/01,Toronto
"Tocchet, Rick",21,21,Foot,F,2000/01,Philadelphia
"Watt, Mike",21,21,Flu,F,2000/01,Nashville
"Bulis, Jan",22,22,Thumb,F,2000/01,Washington
"Foote, Adam",22,22,Heel,D,2000/01,Colorado
"Havlát, Martin",22,22,Shoulder,F,2000/01,Ottawa
"Housley, Phil",22,22,Toe,D,2000/01,Calgary
"McKee, Jay",22,22,Concussion,D,2000/01,Buffalo
"Murray, Glen",22,22,Quadriceps,F,2000/01,Los Angeles
"Svoboda, Petr",22,22,Ankle,D,2000/01,Toronto
"Wilson, Landon",22,22,Back,F,2000/01,Phoenix
"Yelle, Stéphane",22,22,Groin,F,2000/01,Colorado
"Aebischer, David",23,23,Illness,G,2000/01,Colorado
"Brylin, Sergei",23,23,Knee,F,2000/01,New Jersey
"Gardiner, Bruce",23,23,Hip,F,2000/01,Columbus
"Hendrickson, Darby",23,23,Concussion,F,2000/01,Minnesota
"Kuznetsov, Maxim",23,23,Knee,D,2000/01,Detroit
"Miller, Aaron",23,23,Hand,D,2000/01,Colorado
"Neckář, Stanislav",23,23,Ankle,D,2000/01,Phoenix
"Pederson, Denis",23,23,Thumb,F,2000/01,Vancouver
"Rachůnek, Karel",23,23,Knee,D,2000/01,Ottawa
"Stevens, Kevin",23,23,Quadriceps,F,2000/01,Philadelphia
"Svoboda, Petr",23,23,Neck,D,2000/01,Tampa Bay
"Thornton, Joe",23,23,Charley horse,F,2000/01,Boston
"Ulanov, Igor",23,23,Ankle,D,2000/01,Edmonton
"Vanbiesbrouck, John",23,23,Back,G,2000/01,NY Islanders
"Adams, Greg",24,24,Knee,F,2000/01,Florida
"Berehowsky, Drake",24,24,Elbow,D,2000/01,Nashville
"Bure, Valeri",24,24,Heel,F,2000/01,Calgary
"Cross, Cory",24,24,Hip,D,2000/01,Toronto
"Harlock, David",24,24,Neck,D,2000/01,Atlanta
"Hartnell, Scott",24,24,Concussion,F,2000/01,Nashville
"Harvey, Todd",24,24,Head,F,2000/01,San Jose
"Hebert, Guy",24,24,Shoulder,G,2000/01,Anaheim
"Heinze, Steve",24,24,Concussion,F,2000/01,Columbus
"Hill, Sean",24,24,Abdominal,D,2000/01,St. Louis
"Titov, German",24,24,Headache,F,2000/01,Anaheim
"Zyuzin, Andrei",24,24,Concussion,D,2000/01,Tampa Bay
"Adams, Craig",25,25,Sternum,F,2000/01,Carolina
"Arnott, Jason",25,25,Head,F,2000/01,New Jersey
"Aubin, Jean-Sébastien",25,25,Knee,G,2000/01,Pittsburgh
"Bartečko, Ľuboš",25,25,Ankle,F,2000/01,St. Louis
"Classen, Greg",25,25,Knee,F,2000/01,Nashville
"Diduck, Gerald",25,25,Ankle,D,2000/01,Dallas
"Drulia, Stan",25,25,Back,F,2000/01,Tampa Bay
"Johnson, Matt",25,25,Concussion,F,2000/01,Minnesota
"Johnson, Ryan",25,25,Flu,F,2000/01,Tampa Bay
"Kučera, František",25,25,Abdominal,D,2000/01,Columbus
"Legace, Manny",25,25,Knee,G,2000/01,Detroit
"Leschyshyn, Curtis",25,25,Groin,D,2000/01,Minnesota
"Lintner, Richard",25,25,Groin,D,2000/01,Nashville
"Nash, Tyson",25,25,Shoulder,F,2000/01,St. Louis
"Numminen, Teppo",25,25,Ankle,D,2000/01,Phoenix
"Taylor, Tim",25,25,Shoulder,F,2000/01,NY Rangers
"Young, Scott",25,25,Shoulder,F,2000/01,St. Louis
"Yushkevich, Dmitry",25,25,Foot,D,2000/01,Toronto
"Duchesne, Steve",26,26,Knee,D,2000/01,Detroit
"Gilchrist, Brent",26,26,Groin,F,2000/01,Detroit
"Hedican, Bret",26,26,Concussion,D,2000/01,Florida
"Heinze, Steve",26,26,Concussion,F,2000/01,Columbus
"Johnson, Mike",26,26,Ribs,F,2000/01,Tampa Bay
"Jönsson, Kenny",26,26,Concussion,D,2000/01,NY Islanders
"Karalahti, Jere",26,26,Foot,D,2000/01,Los Angeles
"Kravchuk, Igor",26,26,Flu,D,2000/01,Calgary
"Lambert, Denny",26,26,Headache,F,2000/01,Atlanta
"Mara, Paul",26,26,Abdominal,D,2000/01,Tampa Bay
"Miller, Kip",26,26,Groin,F,2000/01,Pittsburgh
"Murphy, Joe",26,26,Shoulder,F,2000/01,Washington
"Phillips, Chris",26,26,Back,D,2000/01,Ottawa
"Rivet, Craig",26,26,Shoulder,D,2000/01,Montreal
"Sedin, Daniel",26,26,Shoulder,F,2000/01,Vancouver
"Simpson, Todd",26,26,Concussion,D,2000/01,Florida
"Thomas, Steve",26,26,Knee,F,2000/01,Toronto
"Van Impe, Darren",26,26,Knee,D,2000/01,Boston
"Vokoun, Tomáš",26,26,Groin,G,2000/01,Nashville
"Weekes, Kevin",26,26,Knee,G,2000/01,Tampa Bay
"Šimíček, Roman",26,26,Flu,F,2000/01,Pittsburgh
"Burt, Adam",27,27,Knee,D,2000/01,Atlanta
"Cairns, Eric",27,27,Hand,D,2000/01,NY Islanders
"Cloutier, Dan",27,27,Flu,G,2000/01,Tampa Bay
"Corbet, René",27,27,Back,F,2000/01,Pittsburgh
"Doan, Shane",27,27,Knee,F,2000/01,Phoenix
"Holzinger, Brian",27,27,Finger,F,2000/01,Tampa Bay
"Hrdina, Jan",27,27,Groin,F,2000/01,Pittsburgh
"Kvasha, Oleg",27,27,Back,F,2000/01,NY Islanders
"Lehtinen, Jere",27,27,Ankle,F,2000/01,Dallas
"McCarty, Darren",27,27,Back,F,2000/01,Detroit
"Modin, Fredrik",27,27,Charley horse,F,2000/01,Tampa Bay
"Tsyplakov, Vladimir",27,27,Charley horse,F,2000/01,Buffalo
"Tugnutt, Ron",27,27,Hip,G,2000/01,Columbus
"Višňovský, Ľubomír",27,27,Back,D,2000/01,Los Angeles
"DeBrusk, Louie",28,28,Groin,F,2000/01,Phoenix
"Donovan, Shean",28,28,Knee,F,2000/01,Atlanta
"Fischer, Jiří",28,28,Ankle,D,2000/01,Detroit
"Kamensky, Valeri",28,28,Kidney,F,2000/01,NY Rangers
"Karpovtsev, Alexander",28,28,Knee,D,2000/01,Chicago
"Klemm, Jon",28,28,Hamstring,D,2000/01,Colorado
"Norton, Jeff",28,28,Leg,D,2000/01,Pittsburgh
"Tocchet, Rick",28,28,Mouth,F,2000/01,Philadelphia
"Valk, Garry",28,28,Knee,F,2000/01,Toronto
"Ylönen, Juha",28,28,Groin,F,2000/01,Phoenix
"Blouin, Sylvain",29,29,Shoulder,F,2000/01,Minnesota
"Drulia, Stan",29,29,Back,F,2000/01,Tampa Bay
"Hay, Dwayne",29,29,Flu,F,2000/01,Calgary
"LeClair, John",29,29,Back,F,2000/01,Philadelphia
"Odjick, Gino",29,29,Elbow,F,2000/01,Montreal
"Stillman, Cory",29,29,Flu,F,2000/01,Calgary
"Ulanov, Igor",29,29,Hand,D,2000/01,Edmonton
"Woolley, Jason",29,29,Groin,D,2000/01,Buffalo
"Belanger, Ken",30,30,Hip,F,2000/01,Boston
"Beránek, Josef",30,30,Shoulder,F,2000/01,Pittsburgh
"Grier, Mike",30,30,Shoulder,F,2000/01,Edmonton
"Hnidy, Shane",30,30,Foot,D,2000/01,Ottawa
"Isbister, Brad",30,30,Jaw,F,2000/01,NY Islanders
"Karpovtsev, Alexander",30,30,Knee,D,2000/01,Chicago
"Keane, Mike",30,30,Groin,F,2000/01,Dallas
"Klee, Ken",30,30,Leg,D,2000/01,Washington
"Knutsen, Espen",30,30,Flu,F,2000/01,Columbus
"Kozlov, Viktor",30,30,Shoulder,F,2000/01,Florida
"Linden, Trevor",30,30,Ankle,F,2000/01,Montreal
"Millar, Craig",30,30,Knee,D,2000/01,Tampa Bay
"Nummelin, Petteri",30,30,Groin,D,2000/01,Columbus
"Salo, Sami",30,30,Shoulder,D,2000/01,Ottawa
"Svoboda, Petr",30,30,Concussion,D,2000/01,Tampa Bay
"Sýkora, Michal",30,30,Chest,D,2000/01,Philadelphia
"Tocchet, Rick",30,30,Flu,F,2000/01,Philadelphia
"Webb, Steve",30,30,Knee,F,2000/01,NY Islanders
"Witt, Brendan",30,30,Flu,D,2000/01,Washington
"Alatalo, Mika",31,31,Ear,F,2000/01,Phoenix
"Dahlén, Ulf",31,31,Back,F,2000/01,Washington
"Haller, Kevin",31,31,Hernia,D,2000/01,NY Islanders
"Kron, Robert",31,31,Abdominal,F,2000/01,Columbus
"Kučera, František",31,31,Chest,D,2000/01,Columbus
"LaCouture, Dan",31,31,Concussion,F,2000/01,Edmonton
"Laflamme, Christian",31,31,Groin,D,2000/01,Montreal
"Parker, Scott",31,31,Shoulder,F,2000/01,Colorado
"Sullivan, Steve",31,31,Flu,F,2000/01,Chicago
"Adams, Kevyn",32,32,Gluteus,F,2000/01,Columbus
"DeBrusk, Louie",32,32,Groin,F,2000/01,Phoenix
"Dineen, Kevin",32,32,Groin,F,2000/01,Columbus
"Freadrich, Kyle",32,32,Foot,F,2000/01,Tampa Bay
"Kallio, Tomi",32,32,Collarbone,F,2000/01,Atlanta
"Krog, Jason",32,32,Shoulder,F,2000/01,NY Islanders
"Marshall, Grant",32,32,Thigh,F,2000/01,Dallas
"Stümpel, Jozef",32,32,Toe,F,2000/01,Los Angeles
"Sweeney, Don",32,32,Knee,D,2000/01,Boston
"Tremblay, Yannick",32,32,Arm,D,2000/01,Atlanta
"Bates, Shawn",33,33,Groin,F,2000/01,Boston
"Beránek, Josef",33,33,Hip,F,2000/01,Pittsburgh
"Brunet, Benoît",33,33,Knee,F,2000/01,Montreal
"Housley, Phil",33,33,Concussion,D,2000/01,Calgary
"Iginla, Jarome",33,33,Knee,F,2000/01,Calgary
"Jönsson, Kenny",33,33,Knee,D,2000/01,NY Islanders
"Kasparaitis, Darius",33,33,Foot,D,2000/01,Pittsburgh
"Langenbrunner, Jamie",33,33,Hip,F,2000/01,Dallas
"Pálffy, Žigmund",33,33,Hamstring,F,2000/01,Los Angeles
"Rivet, Craig",33,33,Shoulder,D,2000/01,Montreal
"Rucchin, Steve",33,33,Dizziness,F,2000/01,Anaheim
"Selänne, Teemu",33,33,Groin,F,2000/01,Anaheim
"Yachmenev, Vitali",33,33,Back,F,2000/01,Nashville
"Barrie, Len",34,34,Kidney,F,2000/01,Florida
"Brown, Curtis",34,34,Knee,F,2000/01,Buffalo
